class,train_freq,val_support,val_precision,val_recall,val_f1
1,9,2,0.3333333333333333,0.5,0.4
2,20,4,0.6666666666666666,0.5,0.5714285714285714
3,8,2,0.5,0.5,0.5
A,16,4,0.8,1.0,0.8888888888888888
ABŞERON RAYON,12,2,0.3333333333333333,0.5,0.4
AC,7,2,0.0,0.0,0.0
AD,12,2,0.5,1.0,0.6666666666666666
AD GÜNÜ,12,3,1.0,1.0,1.0
ALMAQ,31,7,0.6,0.42857142857142855,0.5
ALMIŞAM,7,2,0.5,0.5,0.5
ANA,25,5,0.8,0.8,0.8
APARAT,8,2,0.3333333333333333,0.5,0.4
ATA,15,3,1.0,0.6666666666666666,0.8
AVTOBUS,12,3,0.75,1.0,0.8571428571428571
AVTOMOBİL,22,5,0.75,0.6,0.6666666666666666
AXŞAM,19,4,0.5,0.5,0.5
AYAQ,6,2,1.0,1.0,1.0
AYAQYOLU,7,2,0.0,0.0,0.0
AZƏRBAYCAN,25,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
AĞRIMAQ,13,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
AİLƏ,17,4,0.8,1.0,0.8888888888888888
BACI,7,1,1.0,1.0,1.0
BAKI,44,10,0.3181818181818182,0.7,0.4375
BALACA,13,3,0.6,1.0,0.75
BAXMAQ,8,2,0.2,0.5,0.2857142857142857
BAYRAM,12,2,1.0,0.5,0.6666666666666666
BAYRAQ,11,3,0.25,0.3333333333333333,0.2857142857142857
BAZAR,16,4,0.6,0.75,0.6666666666666666
BAĞ,13,3,1.0,0.3333333333333333,0.5
BU,234,50,0.8666666666666667,0.52,0.65
BU AY,11,2,0.5,0.5,0.5
BU GÜN,25,5,0.75,0.6,0.6666666666666666
BU HƏFTƏ,22,5,1.0,0.6,0.75
BURA,14,3,0.16666666666666666,0.3333333333333333,0.2222222222222222
BURDA,72,15,0.5,0.6,0.5454545454545454
BİLMİR,29,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
BİLMƏK,16,3,0.5,1.0,0.6666666666666666
BİLƏR,35,7,1.0,0.42857142857142855,0.6
BİTMƏK,10,2,1.0,0.5,0.6666666666666666
BİZ,117,25,1.0,0.68,0.8095238095238095
BƏLİ,10,2,0.0,0.0,0.0
COVİD,6,2,1.0,1.0,1.0
D,39,8,1.0,0.875,0.9333333333333333
DEYİL,6,2,0.0,0.0,0.0
DONDURMA,14,3,1.0,0.6666666666666666,0.8
DOST,12,2,0.0,0.0,0.0
DÖVLƏT,12,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
DÜNƏN,27,6,0.8571428571428571,1.0,0.9230769230769231
DİL,12,2,0.6666666666666666,1.0,0.8
DƏYİŞMƏK,7,2,0.0,0.0,0.0
EDİR,15,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
EDƏ BİLMƏK,8,2,0.5,0.5,0.5
ETMƏK,11,3,0.2,0.3333333333333333,0.25
ETİBARNAMƏ,31,6,1.0,0.8333333333333334,0.9090909090909091
EV,53,12,0.7333333333333333,0.9166666666666666,0.8148148148148148
EŞİTMƏ,12,3,0.42857142857142855,1.0,0.6
