true_class,predicted_class,count,train_freq_true,train_freq_pred
MƏN,MƏNƏ,53,1769,32
MƏN,MƏNİM,39,1769,118
O,ONUN,27,213,82
MƏNİM,MƏN,14,118,1769
SİZ,SİZİN,12,308,11
SİZ,BAKI,7,308,44
MƏNİM,MƏNƏ,6,118,32
BU,ÜÇÜN,5,234,14
MƏN,SİZ,5,1769,308
O,ORDA,5,213,25
BİZ,MƏN,4,117,1769
MƏN,YAZDA,4,1769,11
MƏNƏ,MƏN,4,32,1769
İSTƏMƏK,İSTƏYİRƏM,4,73,24
İSTƏYİRƏM,İSTƏMƏK,4,24,73
ALMAQ,AVTOMOBİL,3,31,22
BU,BURDA,3,234,72
MƏN,SİZİN,3,1769,11
ONUN,ORDA,3,82,25
ORDA,ONUN,3,25,82
ORDA,ORA,3,25,15
İSTƏMƏK,SUBAY,3,73,10
BAZAR,SİFARİŞ,2,16,7
BİLƏR,BİLMƏK,2,35,16
BİZ,HAMI,2,117,19
BƏLİ,HANSI,2,10,48
FUTBOL,SATICI,2,32,12
GÖRMƏK,2,2,13,20
KOMPÜTER,YER,2,12,7
MƏN,AC,2,1769,7
MƏN,YOX,2,1769,30
MƏN,ÖZÜMÜ,2,1769,6
O,ORA,2,213,15
O,SRAĞAGÜN,2,213,11
O,SƏN,2,213,34
O,İ,2,213,22
ONUN,O,2,82,213
ONUN,SƏN,2,82,34
SİZ,BƏLİ,2,308,10
SİZ,J,2,308,12
SİZ,SƏN,2,308,34
SİZ,UNUTMUŞAM,2,308,6
SİZİN,SİZ,2,11,308
SƏNƏD,PENSİYA,2,42,47
VAXT,YAŞ,2,16,17
YAZDA,SİZİN,2,11,11
1,BAXMAQ,1,9,8
1,DİL,1,9,12
2,LAZIM,1,20,20
2,YEMƏK,1,20,26
