class,precision,recall,f1,support,train_freq
1,0.0,0.0,0.0,2,9
2,0.2857142857142857,0.5,0.36363636363636365,4,20
3,0.25,0.5,0.3333333333333333,2,8
A,0.3333333333333333,0.25,0.2857142857142857,4,16
ABŞERON RAYON,1.0,0.5,0.6666666666666666,2,12
AC,0.0,0.0,0.0,2,7
AD,0.5,0.5,0.5,2,12
AD GÜNÜ,1.0,0.6666666666666666,0.8,3,12
ALMAQ,0.2,0.14285714285714285,0.16666666666666666,7,31
ALMIŞAM,0.0,0.0,0.0,2,7
ANA,1.0,0.8,0.8888888888888888,5,25
APARAT,0.25,0.5,0.3333333333333333,2,8
ATA,0.75,1.0,0.8571428571428571,3,15
AVTOBUS,0.6,1.0,0.75,3,12
AVTOMOBİL,0.42857142857142855,0.6,0.5,5,22
AXŞAM,0.6666666666666666,0.5,0.5714285714285714,4,19
AYAQ,0.5,0.5,0.5,2,6
AYAQYOLU,1.0,0.5,0.6666666666666666,2,7
AZƏRBAYCAN,0.75,0.5,0.6,6,25
AĞRIMAQ,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,13
AİLƏ,0.6,0.75,0.6666666666666666,4,17
BACI,1.0,1.0,1.0,1,7
BAKI,0.3333333333333333,0.7,0.45161290322580644,10,44
BALACA,1.0,0.3333333333333333,0.5,3,13
BAXMAQ,0.0,0.0,0.0,2,8
BAYRAM,1.0,1.0,1.0,2,12
BAYRAQ,0.4,0.6666666666666666,0.5,3,11
BAZAR,0.2,0.25,0.2222222222222222,4,16
BAĞ,1.0,0.6666666666666666,0.8,3,13
BU,0.9512195121951219,0.78,0.8571428571428571,50,234
BU AY,1.0,0.5,0.6666666666666666,2,11
BU GÜN,0.6666666666666666,0.4,0.5,5,25
BU HƏFTƏ,1.0,0.6,0.75,5,22
BURA,0.6,1.0,0.75,3,14
BURDA,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,72
BİLMİR,1.0,0.8333333333333334,0.9090909090909091,6,29
BİLMƏK,0.4,0.6666666666666666,0.5,3,16
BİLƏR,1.0,0.42857142857142855,0.6,7,35
BİTMƏK,1.0,1.0,1.0,2,10
BİZ,1.0,0.6,0.75,25,117
BƏLİ,0.0,0.0,0.0,2,10
COVİD,1.0,0.5,0.6666666666666666,2,6
D,0.8333333333333334,0.625,0.7142857142857143,8,39
DEYİL,1.0,0.5,0.6666666666666666,2,6
DONDURMA,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,14
DOST,1.0,1.0,1.0,2,12
DÖVLƏT,0.5,0.6666666666666666,0.5714285714285714,3,12
DÜNƏN,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,27
DİL,0.0,0.0,0.0,2,12
DƏYİŞMƏK,1.0,0.5,0.6666666666666666,2,7
EDİR,1.0,0.3333333333333333,0.5,3,15
EDƏ BİLMƏK,1.0,0.5,0.6666666666666666,2,8
ETMƏK,0.2857142857142857,0.6666666666666666,0.4,3,11
ETİBARNAMƏ,1.0,0.6666666666666666,0.8,6,31
EV,0.7272727272727273,0.6666666666666666,0.6956521739130435,12,53
EŞİTMƏ,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,12
EŞİTMƏ APARATI,1.0,1.0,1.0,3,11
EŞİTMƏ MƏHDÜDİYYƏTLİ,0.75,1.0,0.8571428571428571,3,12
FUTBOL,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,32
GECİKMƏK,0.5,0.3333333333333333,0.4,3,15
GEDƏ,0.6666666666666666,1.0,0.8,2,7
GETMƏK,1.0,0.42857142857142855,0.6,7,34
GUN,0.0,0.0,0.0,2,6
GÖRMƏK,0.0,0.0,0.0,3,13
GÖRƏ,0.25,0.5,0.3333333333333333,2,8
GÖZƏL,0.0,0.0,0.0,2,8
GƏLMƏK,0.8,0.8,0.8,5,24
HALALDIR,0.0,0.0,0.0,2,9
HAMI,0.6,0.75,0.6666666666666666,4,19
HANSI,0.5454545454545454,0.6,0.5714285714285714,10,48
HARDA,0.4444444444444444,0.8,0.5714285714285714,5,26
HAVA,0.0,0.0,0.0,2,6
HƏKİM,0.25,0.5,0.3333333333333333,2,7
HƏR GÜN,1.0,0.6666666666666666,0.8,3,16
IKI,1.0,0.6666666666666666,0.8,3,11
J,0.2,0.5,0.2857142857142857,2,12
KOMANDA,0.25,1.0,0.4,2,6
KOMPÜTER,0.0,0.0,0.0,2,12
KÖMƏK,0.5,0.5,0.5,2,11
KÖYNƏK,0.5,1.0,0.6666666666666666,2,8
KƏND,0.3333333333333333,0.5,0.4,2,7
LAZIM,0.4,0.5,0.4444444444444444,4,20
M,1.0,1.0,1.0,2,7
METRO,0.5,1.0,0.6666666666666666,2,8
MÜRACİƏT,0.6666666666666666,0.8,0.7272727272727273,5,23
MƏKTƏB,1.0,1.0,1.0,4,17
MƏN,0.911660777385159,0.6807387862796834,0.7794561933534743,379,1769
MƏNİM,0.1111111111111111,0.2,0.14285714285714285,25,118
MƏNƏ,0.031746031746031744,0.2857142857142857,0.05714285714285714,7,32
MƏTBƏX,1.0,1.0,1.0,2,9
N,0.5,1.0,0.6666666666666666,2,11
NECƏ,0.3333333333333333,0.5,0.4,4,19
NOTARİAL,1.0,0.5,0.6666666666666666,2,6
NÖVBƏ,0.5,0.5,0.5,2,10
NƏDİR,1.0,0.3333333333333333,0.5,3,13
O,0.5,0.044444444444444446,0.08163265306122448,45,213
OLACAQ,0.5,0.5,0.5,2,8
OLAR,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,17
OLMAQ,0.6,0.5,0.5454545454545454,6,28
OLMUSUZ,0.0,0.0,0.0,1,7
OLUR,1.0,0.5,0.6666666666666666,2,6
ONLAR,0.6666666666666666,1.0,0.8,2,7
ONUN,0.21951219512195122,0.5,0.3050847457627119,18,82
ORA,0.2,0.6666666666666666,0.3076923076923077,3,15
ORDA,0.0,0.0,0.0,6,25
OXUMAQ,0.6,0.75,0.6666666666666666,4,19
OYNAMAQ,0.5,0.5,0.5,2,8
OĞUL,0.0,0.0,0.0,3,13
PAROL,1.0,0.5,0.6666666666666666,2,11
PENSİYA,0.7692307692307693,1.0,0.8695652173913043,10,47
PROBLEM,0.0,0.0,0.0,2,6
PUL,0.5,0.5,0.5,2,8
QAPI,0.5,0.6666666666666666,0.5714285714285714,3,12
QARABAĞ,0.4,0.6666666666666666,0.5,3,13
QATAR,0.75,0.75,0.75,4,18
QIZ,0.3333333333333333,0.5,0.4,2,7
QONŞU,1.0,0.5,0.6666666666666666,2,6
QƏLƏM,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,11
RAYONLARDA,1.0,0.5,0.6666666666666666,2,9
RƏSİM,0.75,1.0,0.8571428571428571,3,13
S,0.0,0.0,0.0,2,12
SAAT,0.0,0.0,0.0,2,11
SABAH,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,31
SALAM,0.8,1.0,0.8888888888888888,4,22
SATICI,0.6,1.0,0.75,3,12
SAYLI,1.0,1.0,1.0,2,8
SAĞLAM,0.8888888888888888,1.0,0.9411764705882353,8,39
SONRA,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,16
SOYUQ,0.0,0.0,0.0,1,7
SRAĞAGÜN,0.5,1.0,0.6666666666666666,2,11
SU,1.0,0.5,0.6666666666666666,4,17
SUBAY,0.4,1.0,0.5714285714285714,2,10
SÖNDURƏ,0.0,0.0,0.0,2,7
SİFARİŞ,0.3333333333333333,1.0,0.5,2,7
SİZ,0.8,0.42424242424242425,0.5544554455445545,66,308
SİZİN,0.0,0.0,0.0,3,11
SƏHƏR,0.5,1.0,0.6666666666666666,2,8
SƏN,0.4,0.8571428571428571,0.5454545454545454,7,34
SƏNƏD,0.875,0.7777777777777778,0.8235294117647058,9,42
SƏRGİ,0.6,1.0,0.75,3,13
TAKSİ,0.5,0.5,0.5,2,8
TELEFON,1.0,0.8333333333333334,0.9090909090909091,6,28
TOYA,0.5,0.5,0.5,2,7
TƏHSİL,0.0,0.0,0.0,2,11
UCUZDUR,0.0,0.0,0.0,2,6
UNUTMUŞAM,0.5,1.0,0.6666666666666666,2,6
UNİVERSİTET,0.0,0.0,0.0,2,7
UĞUR,0.75,1.0,0.8571428571428571,3,13
UŞAQ,0.8571428571428571,0.6,0.7058823529411765,10,49
UŞAQLAR,0.5,0.5,0.5,2,11
VAR,0.875,0.875,0.875,16,78
VAXT,0.2,0.25,0.2222222222222222,4,16
VERMƏK,0.5,0.5,0.5,2,12
VİZA,0.8571428571428571,1.0,0.9230769230769231,6,26
VƏ,1.0,1.0,1.0,2,6
XAHİŞ,0.5,0.3333333333333333,0.4,3,11
XATIRLADIM,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,14
XEYİR,1.0,1.0,1.0,3,15
XOŞU GƏLMƏK,0.3333333333333333,0.5,0.4,2,11
XİRDA,0.0,0.0,0.0,2,6
YATMAQ,1.0,0.5,0.6666666666666666,2,7
YAXŞI,1.0,0.6666666666666666,0.8,3,13
YAZDA,0.16666666666666666,0.3333333333333333,0.2222222222222222,3,11
YAZI,0.6666666666666666,0.5,0.5714285714285714,4,18
YAŞ,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,17
YAŞAMAQ,0.8333333333333334,1.0,0.9090909090909091,5,22
YEMƏK,0.6,0.6,0.6,5,26
YENİ,1.0,0.3333333333333333,0.5,3,13
YER,0.4,1.0,0.5714285714285714,2,7
YOL,0.5,0.5,0.5,2,7
YOLDAŞIM,1.0,1.0,1.0,2,7
YOX,0.2,0.16666666666666666,0.18181818181818182,6,30
YOXDUR,0.5,0.5,0.5,2,8
ZƏHMƏT OLMASA,1.0,1.0,1.0,2,12
ZƏNG,0.2,0.5,0.2857142857142857,2,9
ÇANTA,1.0,0.5,0.6666666666666666,2,10
ÇOX,0.8,0.8,0.8,5,24
ÇƏKMƏK,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,14
ÖLƏN,1.0,1.0,1.0,2,7
ÖYRƏNMƏK,0.6666666666666666,1.0,0.8,2,6
ÖZÜMÜ,0.5,1.0,0.6666666666666666,2,6
ÜNVANLİ,0.75,0.75,0.75,4,18
ÜÇÜN,0.0,0.0,0.0,3,14
İ,0.5555555555555556,1.0,0.7142857142857143,5,22
İDMAN,1.0,0.5,0.6666666666666666,2,8
İL,0.4,0.5,0.4444444444444444,4,19
İNDİ,0.5,0.6666666666666666,0.5714285714285714,3,14
İSTİ,0.0,0.0,0.0,2,6
İSTƏMƏK,0.5384615384615384,0.4375,0.4827586206896552,16,73
İSTƏYİRƏM,0.16666666666666666,0.2,0.18181818181818182,5,24
İTMİŞ,1.0,1.0,1.0,2,12
İŞ,0.625,0.8333333333333334,0.7142857142857143,6,27
İŞARƏ,1.0,1.0,1.0,3,14
İŞLƏMİR,0.6666666666666666,1.0,0.8,2,6
İŞLƏMƏK,0.6666666666666666,0.5,0.5714285714285714,4,16
İŞSİZ,0.0,0.0,0.0,2,7
İŞİGİ,0.5,0.5,0.5,2,8
Ə,0.0,0.0,0.0,2,10
ƏLİL,1.0,0.8235294117647058,0.9032258064516129,17,77
ƏRZAQ,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,17
