class,support,precision,recall,f1,train_freq
ORDA,6,0.0,0.0,0.0,25
ÜÇÜN,3,0.0,0.0,0.0,14
GÖRMƏK,3,0.0,0.0,0.0,13
OĞUL,3,0.0,0.0,0.0,13
DİL,2,0.0,0.0,0.0,12
KOMPÜTER,2,0.0,0.0,0.0,12
S,2,0.0,0.0,0.0,12
SAAT,2,0.0,0.0,0.0,11
SİZİN,3,0.0,0.0,0.0,11
TƏHSİL,2,0.0,0.0,0.0,11
BƏLİ,2,0.0,0.0,0.0,10
Ə,2,0.0,0.0,0.0,10
1,2,0.0,0.0,0.0,9
HALALDIR,2,0.0,0.0,0.0,9
BAXMAQ,2,0.0,0.0,0.0,8
GÖZƏL,2,0.0,0.0,0.0,8
AC,2,0.0,0.0,0.0,7
ALMIŞAM,2,0.0,0.0,0.0,7
OLMUSUZ,1,0.0,0.0,0.0,7
SOYUQ,1,0.0,0.0,0.0,7
SÖNDURƏ,2,0.0,0.0,0.0,7
UNİVERSİTET,2,0.0,0.0,0.0,7
İŞSİZ,2,0.0,0.0,0.0,7
GUN,2,0.0,0.0,0.0,6
HAVA,2,0.0,0.0,0.0,6
PROBLEM,2,0.0,0.0,0.0,6
UCUZDUR,2,0.0,0.0,0.0,6
XİRDA,2,0.0,0.0,0.0,6
İSTİ,2,0.0,0.0,0.0,6
