Overall_Rank,Candidate_Rank,Class_Name,Is_Word,Tier,Quality_Score,F1_Score,Recall,Precision,Sample_Score,Confusion_Score,Train_Samples,Val_Samples,Test_Samples,Total_Samples,TP,FP,FN
1,1,BİLMİR,True,Tier 1 (High Quality),0.9525,1.0,1.0,1.0,0.6833,1.0,29,6,6,41,6,0,0
2,2,VAR,True,Tier 1 (High Quality),0.9469,0.9375,0.9375,0.9375,1.0,0.9375,78,16,16,110,15,1,1
3,3,VİZA,True,Tier 1 (High Quality),0.945,1.0,1.0,1.0,0.6333,1.0,26,6,6,38,6,0,0
4,4,ANA,True,Tier 1 (High Quality),0.9375,1.0,1.0,1.0,0.5833,1.0,25,5,5,35,5,0,0
5,5,SAĞLAM,True,Tier 1 (High Quality),0.9267,0.9333,0.875,1.0,0.9167,0.9375,39,8,8,55,7,0,1
6,6,PENSİYA,True,Tier 1 (High Quality),0.915,0.9,0.9,0.9,1.0,0.9,47,10,10,67,9,1,1
7,7,ÜNVANLİ,True,Tier 1 (High Quality),0.915,1.0,1.0,1.0,0.4333,1.0,18,4,4,26,4,0,0
8,8,MƏKTƏB,True,Tier 1 (High Quality),0.9125,1.0,1.0,1.0,0.4167,1.0,17,4,4,25,4,0,0
9,9,HƏR GÜN,True,Tier 2 (Viable Candidate),0.905,1.0,1.0,1.0,0.3667,1.0,16,3,3,22,3,0,0
10,10,UĞUR,True,Tier 2 (Viable Candidate),0.8975,1.0,1.0,1.0,0.3167,1.0,13,3,3,19,3,0,0
11,11,YAXŞI,True,Tier 2 (Viable Candidate),0.8975,1.0,1.0,1.0,0.3167,1.0,13,3,3,19,3,0,0
12,12,EŞİTMƏ APARATI,True,Tier 3 (Marginal Quality),0.8925,1.0,1.0,1.0,0.2833,1.0,11,3,3,17,3,0,0
13,13,QƏLƏM,True,Tier 3 (Marginal Quality),0.8925,1.0,1.0,1.0,0.2833,1.0,11,3,3,17,3,0,0
14,14,BAYRAM,True,Tier 3 (Marginal Quality),0.89,1.0,1.0,1.0,0.2667,1.0,12,2,2,16,2,0,0
15,15,NÖVBƏ,True,Tier 3 (Marginal Quality),0.885,1.0,1.0,1.0,0.2333,1.0,10,2,2,14,2,0,0
16,16,YOLDAŞIM,True,Tier 3 (Marginal Quality),0.8775,1.0,1.0,1.0,0.1833,1.0,7,2,2,11,2,0,0
17,17,ÖLƏN,True,Tier 3 (Marginal Quality),0.8775,1.0,1.0,1.0,0.1833,1.0,7,2,2,11,2,0,0
18,18,PROBLEM,True,Tier 3 (Marginal Quality),0.875,1.0,1.0,1.0,0.1667,1.0,6,2,2,10,2,0,0
19,19,VƏ,True,Tier 3 (Marginal Quality),0.875,1.0,1.0,1.0,0.1667,1.0,6,2,2,10,2,0,0
20,20,BACI,True,Tier 3 (Marginal Quality),0.8725,1.0,1.0,1.0,0.15,1.0,7,1,1,9,1,0,0
21,21,BU,True,Tier 1 (High Quality),0.8455,0.8222,0.74,0.925,1.0,0.84,234,50,50,334,37,3,13
22,22,SALAM,True,Tier 1 (High Quality),0.8436,0.8889,1.0,0.8,0.5,0.875,22,4,4,30,4,1,0
23,23,ƏLİL,True,Tier 1 (High Quality),0.8379,0.8125,0.7647,0.8667,1.0,0.8235,77,17,17,111,13,2,4
24,24,BU HƏFTƏ,True,Tier 1 (High Quality),0.8311,0.8889,0.8,1.0,0.5333,0.9,22,5,5,32,4,0,1
25,25,MƏN,True,Tier 1 (High Quality),0.8277,0.8006,0.7098,0.9181,1.0,0.8232,1769,379,379,2527,269,24,110
26,26,XEYİR,True,Tier 2 (Viable Candidate),0.7983,0.8571,1.0,0.75,0.35,0.8333,15,3,3,21,3,1,0
27,27,BİZ,True,Tier 1 (High Quality),0.7978,0.7619,0.64,0.9412,1.0,0.8,117,25,25,167,16,1,9
28,28,İŞARƏ,True,Tier 2 (Viable Candidate),0.7958,0.8571,1.0,0.75,0.3333,0.8333,14,3,3,20,3,1,0
29,29,SƏRGİ,True,Tier 2 (Viable Candidate),0.7933,0.8571,1.0,0.75,0.3167,0.8333,13,3,3,19,3,1,0
30,30,AVTOBUS,True,Tier 2 (Viable Candidate),0.7908,0.8571,1.0,0.75,0.3,0.8333,12,3,3,18,3,1,0
31,31,SATICI,True,Tier 2 (Viable Candidate),0.7908,0.8571,1.0,0.75,0.3,0.8333,12,3,3,18,3,1,0
32,32,YAZDA,True,Tier 3 (Marginal Quality),0.7883,0.8571,1.0,0.75,0.2833,0.8333,11,3,3,17,3,1,0
33,33,LAZIM,True,Tier 1 (High Quality),0.775,0.8,1.0,0.6667,0.4667,0.75,20,4,4,28,4,2,0
34,34,YAŞAMAQ,True,Tier 1 (High Quality),0.76,0.8,0.8,0.8,0.5333,0.8,22,5,5,32,4,1,1
35,35,AZƏRBAYCAN,True,Tier 1 (High Quality),0.7522,0.7692,0.8333,0.7143,0.6167,0.75,25,6,6,37,5,2,1
36,36,SƏNƏD,True,Tier 1 (High Quality),0.7516,0.7,0.7778,0.6364,1.0,0.6667,42,9,9,60,7,4,2
37,37,EV,True,Tier 1 (High Quality),0.7401,0.6957,0.6667,0.7273,1.0,0.7083,53,12,12,77,8,3,4
38,38,ONLAR,True,Tier 3 (Marginal Quality),0.7325,0.8,1.0,0.6667,0.1833,0.75,7,2,2,11,2,1,0
39,39,ÖYRƏNMƏK,True,Tier 3 (Marginal Quality),0.73,0.8,1.0,0.6667,0.1667,0.75,6,2,2,10,2,1,0
40,40,İŞLƏMİR,True,Tier 3 (Marginal Quality),0.73,0.8,1.0,0.6667,0.1667,0.75,6,2,2,10,2,1,0
41,41,BAĞ,True,Tier 2 (Viable Candidate),0.7275,0.8,0.6667,1.0,0.3167,0.8333,13,3,3,19,2,0,1
42,42,AD GÜNÜ,True,Tier 2 (Viable Candidate),0.725,0.8,0.6667,1.0,0.3,0.8333,12,3,3,18,2,0,1
43,43,EŞİTMƏ MƏHDÜDİYYƏTLİ,True,Tier 2 (Viable Candidate),0.725,0.8,0.6667,1.0,0.3,0.8333,12,3,3,18,2,0,1
44,44,ETİBARNAMƏ,True,Tier 1 (High Quality),0.7237,0.7273,0.6667,0.8,0.7167,0.75,31,6,6,43,4,1,2
